projectid	pg_ebook_number	title	author	pages_total
projectID617a05acb9d93	78781	The healthy life beverage book	Knaggs, H. Valentine	128
projectID617d4c4d4ae8a	79305	The Boer Concentration Camps of Bermuda	Hassell, John A.	27
projectID618e1dda047fa	78921	Sacred Symbols in Art	Goldsmith, Elizabeth E.	319
projectID61bb7160bd056	78838	Fruits of enterprize exhibited in the adventures of Belzoni in Egypt and Nubia	Wilson, Lucy Sarah Atkins	214
projectID61c67ef78e15c	79091	Picture plays	Merington, Marguerite	147
projectID61d34678514ba	78800	The six books of Proclus, the Platonic successor, on the theology of Plato (Vol. 2 of 2) [1816]	Proclus	603
projectID61d40a7122e47	79341	My Experiences of the War Between France and Germany. Vol. I	Forbes, Archibald	490
projectID61f4ebf03555e	79350	Sketches in Bedlam	Anon	358
projectID61f8a50869170	79020	The Spoon	Westman, Habbakuk O.	308
projectID621f34b7446cc	79378	Oracles of Nostradamus [1891]	Ward, Chas. A.	422
projectID622135813ad40	78801	The parlor gardener: a treatise on the house culture of ornamental plants	Randolph, Cornelia J.	179
projectID6223afd8b8fc4	78851	Plutarch's Essays and Miscellanies (Vol. 3 of 5) [1911]	Plutarch	532
projectID6234cebeb27a3	79195	Abused Russia	Young, Charles Christian	189
projectID625376590dbb6	78973	The Children's Kraft Shop	Beard, Adelia Belle	64
projectID625385237dac1	78750	Famous Mystery Stories	McSpadden, J. Walker	302
projectID6265ffcaf301a	78827	Captain Billy's Whiz Bang April 1922; America's Magazine of Wit, Humor and Filosophy	various	66
projectID62930b71a45bb	78816	The Kilima-Njaro expedition. [1886]	Johnston, Harry Hamilton	661
projectID62a57a5d9113f	78854	Boot making and mending	Hasluck, Paul N.	160
projectID62af734d25155	79051	Atalanta or twelve months in the evening star	Richards, Charles Napier	272
projectID62e173ee993c7	78872	The divine and moral songs of Isaac Watts	Stone, Wilbur Macey	97
projectID62e40d920c7f5	79115	Books in chains, and other bibliographical papers	Blades, William	272
projectID62f951b9d2aae	78929	The pioneer women of the West	Ellet, Elizabeth Fries	434
projectID63003e1c52730	78847	As a woman thinks	Harris, Corra	321
projectID63161caf7eafa	78669	Memories of my life [1908]	Galton, Francis	392
projectID6338455f5aa13	78736	Dethronements: Imaginary Portraits of Political Characters, Done in Dialogue	Housman, Laurence	96
projectID6352c322828fb	78731	With Scott [1916]	Taylor, Thomas Griffith	574
projectID63538a7ea9e98	79272	The tank in action.	Browne, Douglas Gordon	560
projectID63564c2139a50	78673	Kulóskap the Master, and Other Algonkin Poems	Leland, Charles Godfrey & Prince, John Dyneley [translators]	391
projectID635a2a6a50fd5	78902	The Waltz of the Dogs	Andreyev, Leonid	147
projectID635b846689d9e	78687	The Coming of the Amazons	Johnson, Owen	271
projectID635d2f6868e61	78848	Jim Hanvey, Detective	Cohen, Octavus Roy	293
projectID6369c3c4591b6	79092	The lavender dragon	Phillpotts, Eden	208
projectID6372733dd3088	78716	Sport and science on the Sino-Mongolian frontier [1918]	Sowerby, Arthur de Carle	347
projectID637885d10f22a	78980	Stories of the Persian wars	Church, Alfred John	218
projectID639c88078ca55	79047	Double Jeopardy	Goldsmith, Martin M.	249
projectID63a518508f738	78818	Louisa May Alcott, the children's friend	Cheney, Ednah Dow	59
projectID63a5e627b8f7c	78803	Jenny Lind the artist, 1820-1851	Holland, Henry Scott	502
projectID63aebe2841066	79238	With the German armies in the West [1915]	Hedin, Sven Anders	542
projectID63b4e1e68a96d	79276	Anthology of Russian literature from the earliest period to the present time, vol. 2	Wiener, Leo	521
projectID63d812d70799f	79088	A prisoner of the Reds [1921]	McCullagh, Francis.	380
projectID63d85a522ca1f	78796	The crown jewels of England	Younghusband, G. J.; Davenport, Cyril	134
projectID6401b235539dd	79139	The library of Photius (Vol. 1 of 1) [1920]	Photius	272
projectID6415fed521aa5	78936	The Eighteen Nineties: A Review of Art and Ideas at the Close of the Nineteenth Century	Jackson, Holbrook	364
projectID6425be32e5169	79079	Life in Hawaii. [1882]	Coan, Titus	351
projectID64362013dc978	78917	The adventures of a donkey	Ségur, Sophie	285
projectID6439ebda1461d	79371	Saint Mungo's city, vol. 1	Tytler, Sarah	321
projectID643ab41f2b9e6	79372	Saint Mungo's city, vol. 2	Tytler, Sarah	319
projectID643eab65b2c4f	79373	Saint Mungo's city, vol. 3	Tytler, Sarah	328
projectID6444e503f11ce	78770	On trail and rapid by dog-sled & canoe [1912]	Cody, Hiram Alfred	253
projectID6451031a6923e	78748	Four Plays	Milne, A. A.	272
projectID6463d75c75170	79398	The works of Plato (Vol. 2 of 6) [1849]	Plato	467
projectID647e0ad783817	79056	The German Arctic expedition of 1869-70 [1874]	Koldewey, Karl	671
projectID6489c4e9d4e74	79004	The Life of John Eliot	Adams, Nehemiah	324
projectID6489f50c6b654	78946	Glimpses of Japan and Formosa	Franck, Harry Alverson	305
projectID6491e60e8e8e6	79183	The Japanese empire	Franck, Harry Alverson	259
projectID6491e911978ac	79021	Mexico and Central America	Franck, Harry Alverson	288
projectID649321d768a25	78953	China	Franck, Harry Alverson	260
projectID64a479f51ce5b	78741	The royal mint	Ansell, George Frederick	237
projectID64b6ce17e9084	78675	"Magyarland", vol. II [1881]	Mazuchelli, Elizabeth Sarah	325
projectID64bc4aa085f85	78831	Old violins	Haweis, H. R.	320
projectID64cbdc6747603	79361	History of flagellation among different nations	Anonymous	135
projectID64cbe124766d7	78950	Illustrated catalogue of the historical and world-renowned collection of torture instruments, etc., from the royal castle of Nuremberg ...	Ichenhäuser, Julius D	98
projectID64f752fd000e3	79273	Russian life and society as seen in 1866-'67	Appleton, Nathan	296
projectID6500a743e5eb8	78829	The great Siberian railway [1904]	Clark, Francis Edward	395
projectID650104c60a5a1	79275	Mexico: a history of its progress and development in one hundred years	Wright, Marie Robinson	519
projectID65045b2cec551	78797	The North Atlantic telegraph via the Færöe Isles, Iceland, and Greenland	The Royal Geographical Society of Great Britain	96
projectID65045ec2a5d55	79060	From England to Iceland; A Summer Trip to the Arctic Circle	Sim, George Charles	151
projectID6516d7708ce0a	79104	Historic buildings of America as seen and described by famous writers	Singleton, Esther	451
projectID651aab6848ed2	78891	Further memoirs of the Whig party	Holland, Henry Richard Vassall	466
projectID651b1af9b4cf5	79331	The dream-maker man	Lea, Fanny Heaslip	335
projectID6539627c06089	79395	In the Klondyke [1899]	Palmer, Frederick	279
projectID654f9c263a5aa	78806	A plan for improving female education	Willard, Emma	39
projectID655b98fce74c6	79039	The manliness of Christ	Hughes, Thomas	272
projectID656e21c1e73b8	78991	Moxon's mechanick exercises (volume 2 of 2)	Moxon, Joseph	258
projectID657550412c8dc	79365	In a German colony [1909]	Pullen-Burry, B.	312
projectID657e0bfb33ef6	78849	A calendar of dinners, with 615 recipes	Neil, Marion Harris	321
projectID65832f6fc0f3b	79045	Wings of youth	Buckley, Nancy	68
projectID65ab7f65ddcfc	78663	The whistle	Franklin, Benjamin	11
projectID65c03018e2eaf	78744	Specimens of the Russian poets, vol. 1	Bowring, Sir John	276
projectID65c10d77eec1e	78745	Specimens of the Russian poets, vol. 2	Bowring, Sir John	300
projectID65e44031ded47	78977	Symbolism, Its Meaning and Effect [1927]	Whitehead, Alfred North	100
projectID66242527771de	78729	Michael Fairless: Her Life and Writings	Palmer, W. Scott and Haggard, A. M.	149
projectID663989b5dea68	78874	Miss Polly Wiggles	Davis, Edna Clark; Greene, Julia, illustrator	346
projectID6644d7736baab	78894	The education of the women of India	Cowan, Minna G.	285
projectID6647dd9fc7153	78966	A short history of medicine, introducing medical principles to students and non-medical readers	Singer, Charles	402
projectID664f668c85197	78896	A fifth day in Mary Carrow's school	American Sunday-School Union	105
projectID665d0630f2d6a	79218	Eyes that cannot see	Gnudtzmann, Albert	50
projectID666e213515aa3	79231	Judge Ben B. Lindsey on the child--the movie--and censorship.	Lindsey, Ben B.	16
projectID667043307956f	79061	Glimpses into Plant-life [1897]	Brightwen, Eliza	352
projectID667fc231b44b9	79059	The Generals of the Last War with Great Britain [1849]	Jenkins, John Stilwell	421
projectID668116dba8762	78944	The Canadian View of the Alaskan Boundary Dispute [1899]	Mills, David	23
projectID66812847b47f7	78889	Observations on the geology, zoology and botany of Hudson's Strait and Bay, made in 1885	Bell, Robert	33
projectID66896887eced0	79344	The Eternal Laughter and Other Poems [1903]	Burgess, W. Starling	149
projectID66a04cbbf1f6a	78702	Archways of life	de Acosta, Mercedes	61
projectID66a178f9a3b96	79277	Moods (prose poems)	de Acosta, Mercedes	51
projectID66abf93e9ef70	78956	Culture's garland	Field, Eugene	339
projectID66b4e51dbe3af	78951	Women in the factory	Anderson, Adelaide Mary	330
projectID66beddd2314e4	79177	Problems in astrophysics	Clerke, Agnes M.	645
projectID66eb285b27be1	78710	In doors and out; or, Views from the chimney corner	Optic, Oliver	343
projectID6714e7ba25242	78724	Six months in America. Vol. 1 of 2	Vigne, Godfrey Thomas	287
projectID671cd7eccb19a	78876	Two English queens and Philip	Hume, Martin A. S.	543
projectID671da35d80adc	79182	The life-story of a Russian exile	Sukloff, Marie	261
projectID671f2fa87d007	79242	The price of salt	Morgan, Claire	255
projectID6720f0bb13681	78780	The marriage	Bannon, Ann	192
projectID672240f1380d5	79057	Beebo Brinker	Bannon, Ann	208
projectID6722a2ac3d26e	78684	Some Nigerian fertility cults	Talbot, Percy Amaury	182
projectID6727b97720409	79050	Slips of tongue and pen	Long, J. H. [John Henry]	121
projectID67343e168d7bd	78809	More secret remedies--what they cost and what they contain	British Medical Association	307
projectID673cd4c091c6a	79013	Spring fire	Packer, Vin	186
projectID6741cc96e9016	78658	Pompeii	Engelmann, Richard	119
projectID6743882c91aa0	78728	Brasses	Ward, J. S. M.	172
projectID674618d8ac147	79076	How to keep bees	Comstock, Anna Botsford	281
projectID6764fa6501c4c	79380	Collected poems of Alice Meynell	Meynell, Alice	120
projectID67657a56ec0f1	78873	Clendenen's detective manual	Clendenen, Rufus Howard.	219
projectID6768aa3df249f	78746	Sweden; through the artist's eye	Laurin, Carl G.	62
projectID6768b9cfe785b	78758	Six months in America. Vol. 2 of 2	Vigne, Godfrey Thomas	284
projectID676addf5e1395	79363	Poems	Blake, William; Introduction by Meynell, Alice	245
projectID67742d057484d	78958	American root drugs	Henkel, Alice	94
projectID677581234eac1	79224	Practical podiatry	Joseph, Alfred; Burnett, E. K.; Gross, Reuben H.	479
projectID6778e8b8c552d	78949	The second person singular, and other essays	Meynell, Alice	142
projectID677c9c82f3d25	78947	The poems of Thomas Gordon Hake	Hake, Thomas Gordon	181
projectID677ef84e66ede	78708	The burning of Chelsea	Pratt, Walter Merriam.	213
projectID678006530b3c1	79143	The poetry of pathos & delight	Patmore, Coventry	154
projectID67840fcd42330	78799	The kitchen garden and the cook	Pearse, Cecilia Maria	292
projectID67950facae24a	78952	Flower legends for children	Murray, Hilda	70
projectID6797a18216400	79354	How not to be a wallflower	Woodworth, John	64
projectID67a80fde44d34	78722	The toll-keepers and other stories for the young	Clarke, Benjamin	98
projectID67ab737391ded	79207	Number one Joy street	Various	252
projectID67ada216248c9	79150	Number two Joy street	Various	250
projectID67af827499fb9	79304	What to do in cases of accidents and emergencies	Lawrence, Joseph B.	139
projectID67b1ef7719fb8	79015	The heart of an orphan	Chase, Amanda Mathews	174
projectID67ba37cba77b8	78804	Studies of chess; containing Caïssa, a poem	Jones, William & Philidor, F. D. & Pratt, Peter	560
projectID67bf88cb7a1df	79110	Wild medicinal plants of the United States	Henkel, Alice	76
projectID67d1b23c7c642	79337	Number three Joy street	Various	250
projectID67ef01a6c5ed9	79234	Two lectures introductory to the study of poetry	Beeching, H. C.	61
projectID680667ca78f0c	79130	Thorns of regret; or, His brother's wife	Miller, Alex. McVeigh, Mrs.	320
projectID6808f89399a36	79172	The Stone Age	Wood, Clement	62
projectID680bd16933ecb	79203	Key to palmistry	Williams, Louis	32
projectID6814e35a6b014	79154	The green overcoat	Belloc, Hilaire	334
projectID681609e70fe3a	78905	Model yachts and model yacht sailing	Walton, James E.	102
projectID682b81a232008	78830	On yacht etiquette	Patterson, Howard	97
projectID682f8aaccdcc7	79269	The haunted house	Belloc, Hilaire	319
projectID6842d82992dbc	78988	How to become mentally superior	Le Chatelier, Henry M.	32
projectID68462b8165a4b	78747	The blacker the berry: a novel of negro life [1929]	Thurman, Wallace	264
projectID6847613b86a69	79257	The Sun virgin [1929]	Dixon, Thomas	306
projectID68540ed9339e4	78996	Psychology for beginners	Carrington, Hereward	61
projectID686193a0b3e79	79325	Thoughts of a fool	Gladys, Evelyn [pseud. Kuehn, Herman]	260
projectID68658d72319cb	79010	A book of European statistics	Markun, Leo	32
projectID68658fb9bdc7d	79200	How to read and correct proof	Smith, Lloyd E.	32
projectID68683eff293db	78983	What you should know about your sensations	Adams, Grace Kinckle	31
projectID686d84456c30d	78694	The humor of "Bill" Nye	Nye, Bill	60
projectID687fa33eaf9c6	78927	Strange marriage customs	Markun, Leo	32
projectID688e5e5fcf48b	78883	The man from the river	Cole, G. D. H.; Cole, Margaret	308
projectID6894d64089588	79114	Adventures of a donkey	Argus, Arabella	254
projectID6897614e6c502	78779	Dark Hester	Sedgwick, Anne Douglas	304
projectID68a1f5977ef5f	79018	Outline of Mexican popular arts and crafts [1922]	Porter, Katherine Anne	56
projectID68a7b417c11d6	78778	The fifteen cells	Martin, Stuart	336
projectID68a86e26d4714	78919	In camp and kitchen	Yates, Lucy H.	128
projectID68abc81304cd5	79159	Jane Eyre: a drama in five acts. Adapted from Charlotte Brontë's novel by John Brougham [1856]	Brougham, John	36
projectID68ae09147dae9	79248	A scarlet poppy, and other stories	Spofford, Harriett Prescott	287
projectID68b1a4a2b3830	79216	Criminals	Middleton, George	55
projectID68b4448db95fc	78814	Absenteeism	Morgan, Lady (Sydney)	188
projectID68bae4f45b359	78768	The terrible meek	Kennedy, Charles Rann	53
projectID68bc7c5178eb2	78682	The lily of Mordaunt	Sheldon, Georgie, Mrs.	292
projectID68cd8bd790a52	78962	The Bible, should it be in the school room?	Steiner, Franklin	61
projectID68d027c6d32c2	79026	The enterprising burglar	Balfour, Hearnden	315
projectID68d028b8ad177	78989	The facts about rejuvenation	Fishbein, Morris	32
projectID68d283095a17f	79019	The Poetical Works of Edgar Allan Poe (1858)	Edgar Allan Poe	376
projectID68e337f925d55	79171	The Little Review: 1917/10 (Vol. 4, No. 6)	Anderson, Margaret C. (Ed.)	52
projectID68eaadbec1ca3	78985	An introduction to philology	Wood, Clement	63
projectID68f01105d8245	78965	Orthodoxy	Putnam, Nina Wilcox	47
projectID69027d8333570	78812	Shadowed by a detective; or, The woman in wax	Champlin, Virginia	282
projectID6904bd9bc9ee7	78879	Animals of ancient lands	Fenton, Carroll Lane	64
projectID6904bf671a7cf	79206	The death of a millionaire	Cole, G. D. H.; Cole, Margaret	391
projectID690bf1e952ef1	79321	Clare Abbey; or the trials of youth (vol. 1 of 2)	Ponsonby, Emily Charlotte Mary	314
projectID690de46b07181	78711	Where the young child was	Oemler, Marie Conway	264
projectID690e13bd9e592	78938	Over the Falls (1902)	Taylor, Annie Edson	16
projectID6914d765e9170	78906	How to conquer stupidity	Markun, Leo	64
projectID6915d4d586120	79012	The wolves and the lamb	Fletcher, J. S.	319
projectID691670bcd4af8	79324	Clare Abbey; or the trials of youth (vol. 2 of 2)	Ponsonby, Emily Charlotte Mary	332
projectID69179731b6949	79124	The best jokes about preachers	Milburn, George	64
projectID691799282c3ab	79263	Our insect enemies	Randolph, Vance	64
projectID691cf5f9a8a12	78755	Crack o' dawn	Davis, Fannie Stearns	116
projectID692464674e66f	78898	100 professions for women	Van Deventer, Betty	64
projectID69287386e7f4f	79055	The place called Dagon	Gorman, Herbert	313
projectID6939d320d854b	79160	The man in the dark	Ferguson, John	313
projectID6939d5478964a	79125	Best jokes of 1927	Roselle, Aubrey C.	62
projectID6945dba84d34c	78688	The contrast (vol. 1 of 3)	Phipps, Constantine Henry	294
projectID69506eee5b067	78686	Jack Brag (vol. 1 of 3)	Hook, Theodore Edward	315
projectID6952c8634d86a	78652	A fisher girl of France	Calmettes, Fernand	331
projectID6952d8e9799cd	78839	Bread and cake baking	Hauptmann, Frederick D.	68
projectID69552b98c1777	79270	What you should know about palmistry	Markun, Leo	64
projectID6955e9dcb9a72	78974	Whalers and whaling	Chatterton, E. Keble	256
projectID69565d996c992	79093	Cape Cod; its people and their history	Kittredge, Henry Crocker	387
projectID6957f7c485523	78762	Van Zorn	Robinson, Edwin Arlington	181
projectID6959abf4bf0d2	78689	The contrast (vol. 2 of 3)	Phipps, Constantine Henry	259
projectID695e94315f018	79283	Mata Hari	Coulson, Thomas	325
projectID6966120ed7220	78709	Jack Brag (vol. 2 of 3)	Hook, Theodore Edward	328
projectID696ec323e8d3b	78690	The contrast (vol. 3 of 3)	Phipps, Constantine Henry	249
projectID697ac260ab94f	78878	Jack Brag (vol. 3 of 3)	Hook, Theodore Edward	340
projectID697ebb2e82418	78733	The master of destiny: a biography of the brain	Tilney, Frederick	357
projectID6982598c1983a	79210	Miss Mole	Young, E.H.	352
projectID6993392fab3b5	78823	The French powder mystery	Queen, Ellery	332
projectID6994d12c64940	79229	Garram the hunter: a boy of the hill tribes	Herbert Best	344
projectID69a35d0517954	78913	The rise and fall of the mustache	Burdette, Robert J.	349
projectID69a663dbc6925	79080	Curiosa mathematica, part II: pillow-problems thought out during wakeful hours {F2 skipped}	Dodgson, Charles Lutwidge	135
projectID69a7ae84cf684	78743	Harmonium	Stevens, Wallace	140
projectID69bd67857b182	78664	The adventures of Pony Dexter	Cheever, Harriet A. (Anna)	96
projectID69c1524e674df	79196	Robert Louis Stevenson reader	Bryce, Catherine T.	96
projectID69c2fb9ce6d62	79370	Ryzon Baking Book (1917)	Neil, Marion Harris	134
projectID69c56eaa8a1f7	79345	Stories of adventure	Hale, Edward E. (Everett)	356
projectID69c9c049c1152	79388	The two brothers (vol. 1 of 3)	Ponsonby, Emily Charlotte Mary	314
projectID69d16553de4c9	78969	A lovers' tale	Hewlett, Maurice	310
projectID69dc3c30e756b	79389	The two brothers (vol. 2 of 3)	Ponsonby, Emily Charlotte Mary	280
projectID69e49aa46fcfd	79390	The two brothers (vol. 3 of 3)	Ponsonby, Emily Charlotte Mary	280
projectID69f0ec8ac1275	79327	French fairy tales	Cary, M.	308
projectID69f9e7a7d2536	79351	Naked Holiday	Elliott, Don	195
projectID69f9e8f48c14c	79382	Party girl	Elliott, Don	195
projectID69fc028942c44	79181	Chemistry: developed by facts and principles drawn chiefly from the non-metals	Appleton, John Howard	262
projectID6a0d88ea871a2	79400	The greatest adventure	Taine, John	257
projectID6a780b7294bd4	79394	First poems	Pitter, Ruth	56
