projectid	pg_ebook_number	state	title	author	pages_total
projectID6463d75c75170	79398	proj_submit_pgposted	The works of Plato (Vol. 2 of 6) [1849]	Plato	467
projectID647e0ad783817	79056	proj_submit_pgposted	The German Arctic expedition of 1869-70 [1874]	Koldewey, Karl	671
projectID6489c4e9d4e74	79004	proj_submit_pgposted	The Life of John Eliot	Adams, Nehemiah	324
projectID6489f50c6b654	78946	proj_submit_pgposted	Glimpses of Japan and Formosa	Franck, Harry Alverson	305
projectID6491e60e8e8e6	79183	proj_submit_pgposted	The Japanese empire	Franck, Harry Alverson	259
projectID6491e911978ac	79021	proj_submit_pgposted	Mexico and Central America	Franck, Harry Alverson	288
projectID649321d768a25	78953	proj_submit_pgposted	China	Franck, Harry Alverson	260
projectID64a479f51ce5b	78741	proj_submit_pgposted	The royal mint	Ansell, George Frederick	237
projectID64b6ce17e9084	78675	proj_submit_pgposted	"Magyarland", vol. II [1881]	Mazuchelli, Elizabeth Sarah	325
projectID64bc4aa085f85	78831	proj_submit_pgposted	Old violins	Haweis, H. R.	320
projectID64cbdc6747603	79361	proj_submit_pgposted	History of flagellation among different nations	Anonymous	135
projectID64cbe124766d7	78950	proj_submit_pgposted	Illustrated catalogue of the historical and world-renowned collection of torture instruments, etc., from the royal castle of Nuremberg ...	Ichenhäuser, Julius D	98
projectID64f752fd000e3	79273	proj_submit_pgposted	Russian life and society as seen in 1866-'67	Appleton, Nathan	296
projectID6500a743e5eb8	78829	proj_submit_pgposted	The great Siberian railway [1904]	Clark, Francis Edward	395
projectID650104c60a5a1	79275	proj_submit_pgposted	Mexico: a history of its progress and development in one hundred years	Wright, Marie Robinson	519
projectID65045b2cec551	78797	proj_submit_pgposted	The North Atlantic telegraph via the Færöe Isles, Iceland, and Greenland	The Royal Geographical Society of Great Britain	96
projectID65045ec2a5d55	79060	proj_submit_pgposted	From England to Iceland; A Summer Trip to the Arctic Circle	Sim, George Charles	151
projectID6516d7708ce0a	79104	proj_submit_pgposted	Historic buildings of America as seen and described by famous writers	Singleton, Esther	451
projectID651aab6848ed2	78891	proj_submit_pgposted	Further memoirs of the Whig party	Holland, Henry Richard Vassall	466
projectID651b1af9b4cf5	79331	proj_submit_pgposted	The dream-maker man	Lea, Fanny Heaslip	335
projectID6539627c06089	79395	proj_submit_pgposted	In the Klondyke [1899]	Palmer, Frederick	279
projectID654f9c263a5aa	78806	proj_submit_pgposted	A plan for improving female education	Willard, Emma	39
projectID655b98fce74c6	79039	proj_submit_pgposted	The manliness of Christ	Hughes, Thomas	272
projectID656e21c1e73b8	78991	proj_submit_pgposted	Moxon's mechanick exercises (volume 2 of 2)	Moxon, Joseph	258
projectID657550412c8dc	79365	proj_submit_pgposted	In a German colony [1909]	Pullen-Burry, B.	312
projectID657e0bfb33ef6	78849	proj_submit_pgposted	A calendar of dinners, with 615 recipes	Neil, Marion Harris	321
projectID65832f6fc0f3b	79045	proj_submit_pgposted	Wings of youth	Buckley, Nancy	68
