augustine-of-hippo_the-city-of-god_marcus-dods_george-wilson_j-j-smith	45304
augustine-of-hippo_the-city-of-god_marcus-dods_george-wilson_j-j-smith	45305
banjo-paterson_an-outback-marriage	6119
baroness-orczy_el-dorado	1752
baroness-orczy_i-will-repay	5090
baroness-orczy_lord-tonys-wife	35117
baroness-orczy_the-elusive-pimpernel	2785
baroness-orczy_the-laughing-cavalier	33208
baroness-orczy_the-league-of-the-scarlet-pimpernel	5805
baroness-orczy_the-old-man-in-the-corner	10556
baroness-orczy_the-scarlet-pimpernel	60
barry-goldwater_the-conscience-of-a-conservative	74319
beatrix-potter_short-fiction	14838
beatrix-potter_short-fiction	14872
beatrix-potter_short-fiction	14868
beatrix-potter_short-fiction	14407
beatrix-potter_short-fiction	45264
beatrix-potter_short-fiction	15137
beatrix-potter_short-fiction	15234
beatrix-potter_short-fiction	15077
beatrix-potter_short-fiction	45265
beatrix-potter_short-fiction	14848
beatrix-potter_short-fiction	14837
beatrix-potter_short-fiction	14814
beatrix-potter_short-fiction	15575
beatrix-potter_short-fiction	14220
beatrix-potter_short-fiction	14877
beatrix-potter_short-fiction	17089
beatrix-potter_short-fiction	14797
beatrix-potter_short-fiction	19805
beatrix-potter_short-fiction	582
beatrix-potter_short-fiction	15284
ben-jonson_the-alchemist	4081
benito-perez-galdos_saragossa_minna-caroline-smith	47769
benito-perez-galdos_trafalgar_clara-bell	47980
benjamin-disraeli_sybil	3760
benjamin-franklin_the-autobiography-of-benjamin-franklin	20203
bertha-von-suttner_lay-down-your-arms_t-holmes	49294
bertrand-russell_roads-to-freedom	690
bertrand-russell_the-practice-and-theory-of-bolshevism	17350
bertrand-russell_the-problems-of-philosophy	5827
black-hawk_the-autobiography-of-ma-ka-tai-me-she-kia-kiak-or-black-hawk	7097
boethius_the-consolation-of-philosophy_h-r-james	14328
booker-t-washington_up-from-slavery	2376
booth-tarkington_alice-adams	980
booth-tarkington_national-avenue	58870
booth-tarkington_the-magnificent-ambersons	8867
booth-tarkington_the-turmoil	1098
bram-stoker_dracula	345
c-e-montague_disenchantment	60332
c-j-cutcliffe-hyne_the-lost-continent	285
c-kay-scott_blind-mice	76357
c-s-lewis_poetry	2003
camille-flammarion_omega_j-b-walker	57489
captain-charles-johnson_a-general-history-of-the-pirates	40580
carey-rockwell_stand-by-for-mars	19526
carlo-collodi_the-adventures-of-pinocchio	16865
carolyn-wells_the-clue	54869
catherine-louisa-pirkis_short-fiction	65012
charles-a-lindbergh_we	73142
charles-babbage_passages-from-the-life-of-a-philosopher	57532
charles-beaumont_short-fiction	67341
charles-beaumont_short-fiction	36258
charles-beaumont_short-fiction	32819
charles-brockden-brown_wieland	792
charles-darwin_the-origin-of-species	2009
charles-darwin_the-voyage-of-the-beagle	944
charles-dickens_a-christmas-carol	24022
charles-dickens_a-tale-of-two-cities	98
charles-dickens_barnaby-rudge	917
charles-dickens_bleak-house	1023
charles-dickens_david-copperfield	766
charles-dickens_dombey-and-son	821
charles-dickens_great-expectations	1400
charles-dickens_hard-times	786
charles-dickens_little-dorrit	963
charles-dickens_martin-chuzzlewit	968
charles-dickens_nicholas-nickleby	967
charles-dickens_oliver-twist	730
charles-dickens_our-mutual-friend	883
charles-dickens_the-mystery-of-edwin-drood	564
charles-dickens_the-old-curiosity-shop	700
charles-dickens_the-pickwick-papers	580
charles-kingsley_hypatia	6308
charles-kingsley_the-water-babies	25564
charles-robert-maturin_melmoth-the-wanderer	53685
charles-robert-maturin_melmoth-the-wanderer	53686
charles-robert-maturin_melmoth-the-wanderer	53687
charles-robert-maturin_melmoth-the-wanderer	53688
charles-w-chesnutt_the-conjure-woman	11666
charles-w-chesnutt_the-marrow-of-tradition	11228
charlotte-bronte_jane-eyre	1260
charlotte-bronte_shirley	30486
charlotte-bronte_villette	9182
charlotte-m-yonge_the-clever-woman-of-the-family	3292
charlotte-perkins-gilman_herland	32
charlotte-perkins-gilman_moving-the-mountain	66864
charlotte-perkins-gilman_women-and-economics	57913
christopher-marlowe_edward-ii	20288
christopher-marlowe_the-jew-of-malta	901
christopher-marlowe_the-tragical-history-of-doctor-faustus	779
christopher-morley_parnassus-on-wheels	5311
christopher-morley_the-haunted-bookshop	172
cicely-hamilton_theodore-savage	65848
cicely-hamilton_william-an-englishman	53032
